"","Pool","Max_RM","Min_RM","River"
"1","11",615.1,583.1,"UM"
"2","12",583,556.8,"UM"
"3","13",556.7,522.6,"UM"
"4","14",522.5,493.4,"UM"
"5","15",493.3,483.1,"UM"
"6","16",483,457.2,"UM"
"7","17",457,437.2,"UM"
"8","18",437,410.5,"UM"
"9","19",410.3,364.3,"UM"
"10","20",364.1,343.3,"UM"
"11","21",343.1,325,"UM"
"12","22",324.8,301.3,"UM"
"13","24",301.2,299.5,"UM"
"14","AL",80.2,80,"IWW"
"15","BR",290.9,286,"IWW"
"16","DR",285.9,271.5,"IWW"
"17","LA",157.7,80.3,"IWW"
"18","MA",271.4,244.7,"IWW"
"19","PE",231,157.8,"IWW"
"20","SR",244.6,231.1,"IWW"
