Dataset,Model,Sequence_Length,Forecast_Horizon,Val_RMSE,Val_MAE,Test_RMSE_All,Test_MAE_All,Test_RMSE_1Step,Test_MAE_1Step,Accuracy_1Step,F1_1Step,Training_Time_Min,Pool,River,N_Samples
Pool LA,LSTM,30,40,2.751933051784068,1.3392336554470492,2.0405203708330086,1.0161229851702607,2.0521760166564884,1.0136617038802391,0.5797546012269938,0.4497991967871486,0.9819964647293091,LA,IL,2354
Pool PE,LSTM,30,40,1.8571900330016378,0.9724530582421297,0.969506766620024,0.6980584422565325,0.8340530271392816,0.6187997461824922,0.3288590604026846,0.2957746478873239,0.8276624162991841,PE,IL,1065
Pool SR,LSTM,30,40,1.7002140868360918,1.033378498140138,1.6888509252025634,0.9864989395349247,1.837389340182208,1.0675751164316536,0.5084745762711864,0.12121212121212122,0.46799256801605227,SR,IL,479
Pool MA,LSTM,30,40,4.250978067527042,2.0769329356115027,2.523553081130421,1.3756427952869077,3.4834828471807384,1.5859085404958464,0.6153846153846154,0.761904761904762,0.4306589841842651,MA,IL,236
Pool 18,LSTM,30,40,4.10512376191255,2.0605830493970854,2.0665726188472737,1.4416051996066186,2.1564167148051667,1.4854003900243395,0.5185185185185185,0.388235294117647,0.9686928669611613,18,UM,1546
Pool 22,LSTM,30,40,3.0632313264649613,1.8658422022171468,2.9201758863850245,1.6891232394141438,3.1044492913687463,2.1110414980075554,0.3743016759776536,0.391304347826087,0.9084185520807903,22,UM,1369
Pool 13,LSTM,30,40,2.7951091547161924,1.5116756407977892,2.386279075451258,1.6710319688357647,2.1749485139565303,1.4698874653786875,0.6020942408376964,0.09523809523809523,0.9413040002187093,13,UM,1338
Pool 21,LSTM,30,40,3.8400201171334922,2.566824603056549,1.9784143747599627,1.3651890467323493,2.1455827370474085,1.4858190970660499,0.5174418604651163,0.08791208791208792,0.9798129200935364,21,UM,1250
Pool 16,LSTM,30,40,2.7586654581362593,1.5732731669984932,2.2892703728070614,1.489781952159318,2.291185299962464,1.5341071179399464,0.5235294117647059,0.198019801980198,1.2619431336720786,16,UM,1211
Pool 19,LSTM,30,40,1.4645933376940314,1.0639550901791572,2.1009567152541573,1.2915955927446519,1.4992685315817664,0.9097217550842834,0.5411764705882353,0.23529411764705885,0.8433050195376078,19,UM,651
Pool 20,LSTM,30,40,3.8741337438386103,2.24079244103194,2.7252316680799646,1.457193394447154,3.31203080820994,1.6023051866580087,0.3717948717948718,0.4731182795698924,0.6917597651481628,20,UM,628
Pool 14,LSTM,30,40,1.1569097279108633,0.9279424718736344,2.9164875308801994,1.6303019772945166,2.8791322083482362,1.5791823252228354,0.6341463414634146,0.673913043478261,0.5776141683260599,14,UM,613
Pool 17,LSTM,30,40,1.7187237267373066,1.2103940961623119,1.3829298349359822,0.9304643104230866,1.433812825753009,0.9401302504043613,0.3870967741935484,0.40625,0.9054253498713175,17,UM,479
Pool 12,LSTM,30,40,1.3894259661543953,0.9543687621699557,5.340693647654969,2.8428795174320896,3.4317961996225015,1.6053840645794537,0.6666666666666666,0.2962962962962963,0.8792400479316711,12,UM,446
