Key,Pool,River,N_Samples,N_Gages,Gages
UM_11,11,UM,1429,1,MI11
UM_12,12,UM,446,4,"DBQI4, MI11_Tail, MI12, MI11"
UM_13,13,UM,1338,6,"MI12_Tail, MI13, DBQI4, MI11, MI11_Tail, MI12"
UM_14,14,UM,613,9,"CMMI4, MI13_Tail, MI14, DBQI4, MI11, MI11_Tail, MI12, MI12_Tail, MI13"
UM_15,15,UM,90,10,"MI14_Tail, MI15, CMMI4, DBQI4, MI11, MI11_Tail, MI12, MI12_Tail, MI13, MI13_Tail"
UM_16,16,UM,1211,13,"05446500, FAII4, MI15_Tail, MI16, CMMI4, DBQI4, MI12, MI12_Tail, MI13, MI13_Tail, MI14, MI14_Tail, MI15"
UM_17,17,UM,479,15,"MI16_Tail, MI17, MUSI4, CMMI4, FAII4, MI12, MI12_Tail, MI13, MI13_Tail, MI14, MI14_Tail, MI15, MI15_Tail, MI16, 05446500"
UM_18,18,UM,1546,16,"KHBI2, MI17_Tail, MI18, CMMI4, FAII4, MI13, MI13_Tail, MI14, MI14_Tail, MI15, MI15_Tail, MI16, MI16_Tail, MI17, MUSI4, 05446500"
UM_19,19,UM,651,15,"BRLI4, MI18_Tail, MI19, FAII4, KHBI2, MI14, MI14_Tail, MI15, MI15_Tail, MI16, MI16_Tail, MI17, MI17_Tail, MUSI4, 05446500"
UM_20,20,UM,628,13,"GGYM7, MI19_Tail, MI20, BRLI4, FAII4, KHBI2, MI16, MI16_Tail, MI17, MI17_Tail, MI18, MI18_Tail, MUSI4"
UM_21,21,UM,1250,13,"MI20_Tail, MI21, UINI2, BRLI4, GGYM7, KHBI2, MI17, MI17_Tail, MI18, MI18_Tail, MI19, MI19_Tail, MI20"
UM_22,22,UM,1369,12,"HNNM7, MI21_Tail, MI22, BRLI4, GGYM7, MI18, MI18_Tail, MI19, MI19_Tail, MI20, MI20_Tail, UINI2"
UM_24,24,UM,43,10,"MI22_Tail, GGYM7, HNNM7, MI19, MI19_Tail, MI20, MI20_Tail, MI21, MI21_Tail, UINI2"
IL_AL,AL,IL,1,0,
IL_BR,BR,IL,27,0,
IL_CS,CS,IL,32,0,
IL_DR,DR,IL,96,4,"05527500, IL03, IL03_Tail, IL04"
IL_LA,LA,IL,2354,19,"05570000, 05583000, 05585000, BEAI2, COPI2, HAVI2, IL08, IL08_Tail, KNGI2, HNYI2, IL05_Tail, IL06, IL06_Tail, IL07, IL07_Tail, LSLI2, PIAI2, 05552500, 05555300"
IL_LP,LP,IL,13,0,
IL_MA,MA,IL,236,8,"IL04_Tail, IL05, IL05_Tail, MORI2, IL03, IL03_Tail, IL04, 05527500"
IL_PE,PE,IL,1065,17,"05555300, HNYI2, IL07, IL07_Tail, LSLI2, PIAI2, IL03, IL03_Tail, IL04, IL04_Tail, IL05, IL05_Tail, IL06, IL06_Tail, MORI2, 05527500, 05552500"
IL_SR,SR,IL,479,11,"05552500, IL06, IL06_Tail, IL03, IL03_Tail, IL04, IL04_Tail, IL05, IL05_Tail, MORI2, 05527500"
