Dataset,Model,Test_RMSE_1Step,Test_MAE_1Step,Correlation,Accuracy,Precision,Recall,F1_Score
Pool LA,LSTM,2.3256046985794767,1.3648742940217844,-0.04203574530780364,0.4845679012345679,0.25,0.3978494623655914,0.3070539419087137
Pool PE,LSTM,0.9952720811277782,0.7353471890805866,-0.2601202023791708,0.5238095238095238,0.12962962962962962,0.23333333333333334,0.16666666666666669
Pool SR,LSTM,1.7009742747193544,1.0136875871231583,0.18552052163011978,0.5964912280701754,0.5555555555555556,0.7407407407407407,0.634920634920635
Pool MA,LSTM,3.666005530212999,1.8109939720839,0.1814095774005126,0.6086956521739131,0.6086956521739131,1,0.7567567567567568
Pool 18,LSTM,1.9703256232996185,1.288020205672036,0.21790778976360498,0.5821596244131455,0.6419753086419753,0.4642857142857143,0.538860103626943
Pool 22,LSTM,2.5491241384689363,1.3865429010649164,0.2815339952818035,0.4772727272727273,0.2727272727272727,0.8918918918918919,0.4177215189873418
Pool 13,LSTM,2.1580714620763466,1.47638791664211,-0.040319244674666924,0.6349206349206349,0.5945945945945946,0.2894736842105263,0.3893805309734514
Pool 21,LSTM,2.1194984509611836,1.5455191202348226,-0.13582203063636403,0.7235294117647059,0.14285714285714285,0.023809523809523808,0.04081632653061224
Pool 16,LSTM,1.9717903045706138,1.1116250577045053,0.3510408512230806,0.6964285714285714,0.782608695652174,0.6,0.6792452830188679
Pool 19,LSTM,1.4617560505354534,0.8340229234739087,0.32128210309015226,0.6506024096385542,0.5365853658536586,0.6875,0.6027397260273972
Pool 20,LSTM,3.259163177729136,1.684594059479254,0.18651338455362876,0.5394736842105263,0.38235294117647056,0.48148148148148145,0.4262295081967213
Pool 14,LSTM,2.899103412947891,1.5580321904071777,0.07556498040978403,0.4625,0.4426229508196721,0.75,0.556701030927835
Pool 17,LSTM,1.4343775006296182,0.856413463960836,0.3067738317149393,0.6833333333333333,0.5384615384615384,0.35,0.4242424242424242
Pool 12,LSTM,3.150435588506397,1.5190222093506425,0.3324890907722981,0.9090909090909091,1,0.2857142857142857,0.4444444444444445
