Pool,River,Model,N_Samples,N_Gages,Test_RMSE,Test_MAE,Test_R2,Accuracy,Precision,Recall,F1_Score
LA,IL,xGBoost,2354,19,2.2919661168524184,1.1485741599948989,1.8865339903501206e-5,0.5892857142857143,0.3333333333333333,0.36633663366336633,0.3490566037735849
PE,IL,xGBoost,1065,17,1.5412458801465612,0.8977290835058164,3.249579519433958e-4,0.48427672955974843,0.1076923076923077,0.22580645161290322,0.14583333333333334
SR,IL,xGBoost,479,11,2.303066501668001,1.3634331778996231,0.046238169071371356,0.43478260869565216,0.41025641025641024,0.5,0.4507042253521127
MA,IL,xGBoost,236,7,2.1375858070081395,1.226056088671916,0.045317783157507514,0.4444444444444444,0.2692307692307692,0.875,0.411764705882353
DR,IL,xGBoost,96,4,1.5746371562365744,0.754723278734088,0.3348127612309,0.9333333333333333,0.9333333333333333,1,0.9655172413793104
18,UM,xGBoost,1546,15,2.073528270634914,1.3560952305588048,0.11597728772414784,0.5707964601769911,0.6666666666666666,0.2831858407079646,0.3975155279503106
22,UM,xGBoost,1369,12,3.2965546958758893,2.21649707854074,0.003294805709162729,0.6349206349206349,0.19298245614035087,0.3235294117647059,0.24175824175824173
13,UM,xGBoost,1338,5,3.2034591320026244,1.9565772342271917,0.0020739087428983576,0.6567164179104478,0.6842105263157895,0.43333333333333335,0.5306122448979592
21,UM,xGBoost,1250,12,5.179648344815011,2.9201939601008626,0.026203674317377884,0.7802197802197802,NA,0,NA
16,UM,xGBoost,1211,14,2.323950775223827,1.3585688348590603,0.05589675748047583,0.6666666666666666,0.6206896551724138,0.8181818181818182,0.7058823529411765
19,UM,xGBoost,651,15,2.443085751611851,1.4767626539914231,0.0031497550893420444,0.5789473684210527,0.4634146341463415,0.5135135135135135,0.48717948717948717
20,UM,xGBoost,628,13,2.95117374426881,1.6008025471127847,0.07098843856106062,0.5,0.32727272727272727,0.72,0.4499999999999999
14,UM,xGBoost,613,8,3.312677649081829,1.7836744181497994,0.018166768849352512,0.6195652173913043,0.5,0.8571428571428571,0.631578947368421
17,UM,xGBoost,479,14,2.240357206794247,1.4563442987948656,7.517777479213143e-5,0.4722222222222222,0.18181818181818182,0.16666666666666666,0.17391304347826086
12,UM,xGBoost,446,3,9.18103865085045,5.299283580557957,0.23727193599488833,0.5074626865671642,0.058823529411764705,0.05555555555555555,0.05714285714285714
15,UM,xGBoost,90,10,1.3250054675985767,1.140915731962238,0.7276731372250549,0.2857142857142857,0.1,0.5,0.16666666666666669
