Gage_ID,FullName,NWIS_ID,RiverMile,River,GageType,Pool,Reach
05446500,Rock River,,479,UM,Trib,16,
05527500,Kankakee River,,272.8,IL,Trib,DR,
05552500,Fox River,,239.8,IL,Trib,SR,
05555300,Vermilion River,,226.4,IL,Trib,PE,
05570000,Spoon River,,120.55,IL,Trib,LA,
05583000,Sangamon River,,88.9,IL,Trib,LA,
05585000,La Moine River,,83.75,IL,Trib,LA,
BEAI2,Beardstown,BEAI2,88.6,IL,Main,LA,CEMVR_IL_LA_MVR_9
BRLI4,Burlington,BRLI4,403.2,UM,Main,19,CEMVR_UM_19_MVR_8
CMMI4,Camanche,CMMI4,511.8,UM,Main,14,CEMVR_UM_14_MVR_11
COPI2,Copperas Creek,COPI2,136.8,IL,Main,LA,CEMVR_IL_LA_MVR_57
DBQI4,Dubuque,DBQI4,579.9,UM,Main,12,CEMVR_UM_12_MVR_4
FAII4,Fairport,FAII4,463.5,UM,Main,16,CEMVR_UM_16_MVR_20
GGYM7,Gregory Landing,GGYM7,352.9,UM,Main,20,CEMVR_UM_20_MVR_11
HAVI2,Havana,HAVI2,119.55,IL,Main,LA,CEMVR_IL_LA_MVR_40
HNNM7,Hannibal,HNNM7,309,UM,Main,22,CEMVR_UM_22_MVR_16
HNYI2,Henry,HNYI2,196,IL,Main,PE,CEMVR_IL_PE_MVR_38
IL03,BrandonRoad,JOLI2,286,IL,Main,DR,CEMVR_IL_DR_MVR_14
IL03_Tail,BrandonRoad,JOLI2_Tail,287.8,IL,Main,DR,CEMVR_IL_DR_MVR_14
IL04,Dresden,DRSI2,271.5,IL,Main,DR,CEMVR_IL_DR_MVR_1
IL04_Tail,Dresden,DRSI2_Tail,271.3,IL,Main,MA,CEMVR_IL_MA_MVR_26
IL05,Marseilles,MMPI,247,IL,Main,MA,CEMVR_IL_MA_MVR_1
IL05_Tail,Marseilles,MMOI2,244.6,IL,Main,MA,CEMVR_IL_MA_MVR_1
IL06,StarvedRock,SRDI2,231.1,IL,Main,SR,CEMVR_IL_SR_MVR_1
IL06_Tail,StarvedRock,SRDI2_Pool,230.85,IL,Main,SR,CEMVR_IL_SR_MVR_1
IL07,Peoria,PRAI2,157.82,IL,Main,PE,CEMVR_IL_PE_MVR_1
IL07_Tail,Peoria,PRAI2_Pool,157.62,IL,Main,PE,CEMVR_IL_PE_MVR_1
IL08,LaGrange,NLGI2,80.25,IL,Main,LA,CEMVR_IL_LA_MVR_1
IL08_Tail,LaGrange,NLGI2_Tail,80.08,IL,Main,LA,CEMVR_IL_LA_MVR_1
KHBI2,Keithsburg,KHBI2,427.4,UM,Main,18,CEMVR_UM_18_MVR_9
KNGI2,KingstonMines,KNGI2,145.4,IL,Main,LA,CEMVR_IL_LA_MVR_66
LSLI2,LaSalle,LSLI2,224.7,IL,Main,PE,CEMVR_IL_PE_MVR_66
MI11,LD11,DLDI4,583.08,UM,Main,11,CEMVR_UM_11_MVR_31
MI11_Tail,LD11_Tail,DLDI4_Tail,582.9,UM,Main,12,CEMVR_UM_12_MVR_1
MI12,LD12,BLVI4,556.75,UM,Main,12,CEMVR_UM_12_MVR_26
MI12_Tail,LD12_Tail,BLVI4_Tail,556.56,UM,Main,13,CEMVR_UM_13_MVR_1
MI13,LD13,FLTI2,522.6,UM,Main,13,CEMVR_UM_13_MVR_33
MI13_Tail,LD13_Tail,FLTI2_Tail,522.43,UM,Main,14,CEMVR_UM_14_MVR_1
MI14,LD14,LECI4,493.18,UM,Main,14,CEMVR_UM_14_MVR_28
MI14_Tail,LD14_Tail,LECI4_Tail,493.4,UM,Main,15,CEMVR_UM_15_MVR_1
MI15,LD15,RCKI2,483.15,UM,Main,15,CEMVR_UM_15_MVR_10
MI15_Tail,LD15_Tail,RCKI2_Tail,482.85,UM,Main,16,CEMVR_UM_16_MVR_1
MI16,LD16,ILNI2,457.22,UM,Main,16,CEMVR_UM_16_MVR_26
MI16_Tail,LD16_Tail,ILNI2_Tail,457.08,UM,Main,17,CEMVR_UM_17_MVR_1
MI17,LD17,NBOI2,437.15,UM,Main,17,CEMVR_UM_17_MVR_20
MI17_Tail,LD17_Tail,NBOI2_Tail,437.02,UM,Main,18,CEMVR_UM_18_MVR_1
MI18,LD18,GLDI2,410.38,UM,Main,18,CEMVR_UM_18_MVR_26
MI18_Tail,LD18_Tail,GLDI2_Tail,410.5,UM,Main,19,CEMVR_UM_19_MVR_1
MI19,LD19,EOKI4,363.9,UM,Main,19,CEMVR_UM_19_MVR_46
MI19_Tail,LD19_Tail,EOKI4_Tail,364.28,UM,Main,20,CEMVR_UM_20_MVR_1
MI20,LD20,CANM7,343.24,UM,Main,20,CEMVR_UM_20_MVR_20
MI20_Tail,LD20_Tail,CANM7_T,343.1,UM,Main,21,CEMVR_UM_21_MVR_1 
MI21,LD21,QLDI2,324.85,UM,Main,21,CEMVR_UM_21_MVR_18
MI21_Tail,LD21_Tail,QLDI2_Tail,324.98,UM,Main,22,CEMVR_UM_22_MVR_1
MI22,LD22,SVRM7,301.12,UM,Main,22,CEMVR_UM_22_MVR_24
MI22_Tail,LD22_Tail,SVRM7_Tail,301.25,UM,Main,24,CEMVR_UM_24_MVR_1
MORI2,Morris,MORI2,263.1,IL,Main,MA,CEMVR_IL_MA_MVR_19
MUSI4,Muscatine,MUSI4,452.94,UM,Main,17,CEMVR_UM_17_MVR_5
PIAI2,PeoriaIL,PIAI2,164.6,IL,Main,PE,CEMVR_IL_PE_MVR_7
UINI2,Quincy,UINI2,327,UM,Main,21,CEMVR_UM_21_MVR_17
